Date,Time,Country,Competition,Season,HomeTeam,AwayTeam,Match_Status,URL,Is_Knockout,Went_To_ET,Match_Winner_Final,FT_HomeScore,FT_AwayScore,HT_HomeScore,HT_AwayScore,SH_HomeScore,SH_AwayScore,ET_HomeScore,ET_AwayScore,Penalties_HomeScore,Penalties_AwayScore,FT_HomeOdds,FT_DrawOdds,FT_AwayOdds,1H_HomeOdds,1H_DrawOdds,1H_AwayOdds,SH_HomeOdds,SH_DrawOdds,SH_AwayOdds,OU05_Over,OU05_Under,OU15_Over,OU15_Under,OU25_Over,OU25_Under,OU35_Over,OU35_Under,OU45_Over,OU45_Under,OU55_Over,OU55_Under,BTTS_Yes,BTTS_No,BTTS_1H_Yes,BTTS_1H_No,BTTS_2H_Yes,BTTS_2H_No,DNB_Home,DNB_Away,DC_FT_1X,DC_FT_12,DC_FT_X2,DC_1H_1X,DC_1H_12,DC_1H_X2,DC_2H_1X,DC_2H_12,DC_2H_X2
18 May 2026,00:00,England,Premier League,2025/2026,Wolves,Fulham,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/fulham-wolves-WSUM1Pa4/,No,No,Draw,1.0,1.0,1.0,1.0,0.0,0.0,,,,,4.0,3.75,1.8,4.5,2.25,2.4,4.0,2.5,2.1,1.05,11.0,1.25,4.0,1.8,2.0,3.0,1.4,5.5,1.14,11.0,1.05,1.75,2.0,4.5,1.18,3.4,1.3,3.0,1.36,1.95,1.25,1.22,1.53,1.57,1.17,1.61,1.43,1.18
17 May 2026,21:30,England,Premier League,2025/2026,Manchester Utd,Nottingham,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/manchester-united-nottingham-r7lSurwo/,No,No,Home,3.0,2.0,1.0,0.0,2.0,2.0,,,,,1.55,4.5,5.25,2.0,2.6,5.0,1.83,2.88,4.5,1.02,17.0,1.14,5.5,1.5,2.63,2.3,1.62,4.0,1.25,7.0,1.1,1.57,2.25,3.75,1.25,2.75,1.4,1.22,4.0,1.17,1.18,2.38,1.14,1.5,1.73,1.12,1.32,1.93
16 May 2026,05:00,England,Premier League,2025/2026,Aston Villa,Liverpool,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/aston-villa-liverpool-AyZEYQVH/,No,No,Home,4.0,2.0,1.0,0.0,3.0,2.0,,,,,2.7,3.4,2.55,3.25,2.2,3.2,2.88,2.5,2.75,1.05,11.0,1.25,4.0,1.85,2.0,3.2,1.36,5.5,1.14,11.0,1.05,1.67,2.1,4.33,1.2,3.25,1.33,1.83,1.83,1.5,1.3,1.44,1.36,1.62,1.33,1.38,1.44,1.34
14 May 2026,05:00,England,Premier League,2025/2026,Manchester City,Crystal Palace,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/crystal-palace-manchester-city-xfi4Ju8N/,No,No,Home,3.0,0.0,2.0,0.0,1.0,0.0,,,,,1.3,6.0,8.5,1.73,2.75,7.0,1.57,3.1,6.0,1.02,19.0,1.14,5.5,1.44,2.75,2.1,1.73,3.5,1.3,6.5,1.11,1.75,2.0,4.0,1.22,3.0,1.36,1.1,7.0,1.08,1.13,3.4,1.08,1.4,2.0,1.07,1.27,2.23
12 May 2026,05:00,England,Premier League,2025/2026,Tottenham,Leeds,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/leeds-tottenham-nclkvV1t/,No,No,Draw,1.0,1.0,0.0,0.0,1.0,1.0,,,,,1.83,3.7,4.2,2.38,2.3,4.5,2.1,2.5,4.0,1.04,12.0,1.25,4.0,1.83,2.03,3.0,1.4,5.5,1.14,11.0,1.05,1.75,2.0,4.33,1.2,3.25,1.33,1.33,3.25,1.22,1.29,1.91,1.17,1.57,1.53,1.18,1.42,1.63
11 May 2026,01:30,England,Premier League,2025/2026,West Ham,Arsenal,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/arsenal-west-ham-8Cxbx9Wh/,No,No,Away,0.0,1.0,0.0,0.0,0.0,1.0,,,,,6.0,4.2,1.55,5.5,2.3,2.1,4.75,2.6,1.91,1.05,11.0,1.29,3.75,1.91,1.91,3.4,1.33,6.0,1.13,13.0,1.04,1.95,1.8,5.0,1.17,3.75,1.25,4.0,1.22,2.38,1.22,1.13,1.67,1.57,1.13,1.78,1.41,1.12
10 May 2026,23:00,England,Premier League,2025/2026,Burnley,Aston Villa,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/aston-villa-burnley-UmvdMdte/,No,No,Draw,2.0,2.0,1.0,1.0,1.0,1.0,,,,,6.25,4.5,1.48,6.0,2.4,1.95,5.5,2.75,1.8,1.04,13.0,1.22,4.33,1.73,2.1,2.75,1.44,5.0,1.17,10.0,1.06,1.8,1.95,4.5,1.18,3.4,1.3,5.0,1.17,2.63,1.18,1.13,1.8,1.53,1.11,1.91,1.36,1.1
10 May 2026,23:00,England,Premier League,2025/2026,Crystal Palace,Everton,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/crystal-palace-everton-Med3KzB7/,No,No,Draw,2.0,2.0,1.0,1.0,1.0,1.0,,,,,2.75,3.3,2.55,3.4,2.1,3.2,2.88,2.4,2.75,1.06,10.0,1.3,3.5,2.0,1.8,3.5,1.3,6.5,1.11,15.0,1.03,1.75,2.0,4.5,1.18,3.4,1.3,1.91,1.8,1.5,1.33,1.4,1.36,1.67,1.3,1.37,1.48,1.31
10 May 2026,23:00,England,Premier League,2025/2026,Nottingham,Newcastle,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/newcastle-utd-nottingham-xWhvMmnC/,No,No,Draw,1.0,1.0,0.0,0.0,1.0,1.0,,,,,3.5,3.4,2.1,3.75,2.25,2.75,3.4,2.5,2.4,1.05,11.0,1.25,4.0,1.8,2.0,3.0,1.4,5.5,1.14,11.0,1.05,1.67,2.1,4.33,1.2,3.25,1.33,2.5,1.5,1.7,1.3,1.29,1.4,1.57,1.25,1.49,1.44,1.25
10 May 2026,02:30,England,Premier League,2025/2026,Manchester City,Brentford,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/brentford-manchester-city-4IfWN9Ha/,No,No,Home,3.0,0.0,0.0,0.0,3.0,0.0,,,,,1.36,5.5,7.0,1.73,2.88,6.0,1.62,3.2,5.5,1.01,26.0,1.1,7.0,1.36,3.2,1.93,1.93,3.0,1.4,5.0,1.17,1.57,2.25,3.5,1.29,2.63,1.44,1.14,5.5,1.1,1.14,3.0,1.11,1.4,2.0,1.09,1.26,2.19
10 May 2026,00:00,England,Premier League,2025/2026,Fulham,Bournemouth,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/bournemouth-fulham-2iZkrv3E/,No,No,Away,0.0,1.0,0.0,0.0,0.0,1.0,,,,,2.7,3.6,2.45,3.1,2.38,2.88,2.75,2.63,2.63,1.03,15.0,1.2,4.5,1.62,2.3,2.5,1.53,4.5,1.2,9.0,1.07,1.5,2.5,3.75,1.25,2.63,1.44,1.91,1.8,1.53,1.29,1.44,1.4,1.53,1.36,1.4,1.4,1.35
10 May 2026,00:00,England,Premier League,2025/2026,Brighton,Wolves,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/brighton-wolves-YLpmOIBr/,No,No,Home,3.0,0.0,2.0,0.0,1.0,0.0,,,,,1.29,6.0,9.0,1.67,2.75,8.5,1.53,3.1,7.0,1.02,17.0,1.17,5.0,1.53,2.5,2.3,1.62,4.0,1.25,7.0,1.1,1.95,1.8,4.5,1.18,3.5,1.29,1.1,7.0,1.07,1.13,3.5,1.05,1.4,2.1,1.05,1.27,2.34
10 May 2026,00:00,England,Premier League,2025/2026,Sunderland,Manchester Utd,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/manchester-united-sunderland-dY8uKRGO/,No,No,Draw,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.2,3.6,2.15,3.6,2.3,2.75,3.1,2.6,2.5,1.04,13.0,1.22,4.33,1.73,2.1,2.75,1.44,5.0,1.17,10.0,1.06,1.62,2.2,4.0,1.22,2.75,1.4,2.25,1.57,1.67,1.29,1.36,1.4,1.57,1.29,1.49,1.42,1.27
09 May 2026,21:30,England,Premier League,2025/2026,Liverpool,Chelsea,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/chelsea-liverpool-8j1NPVnm/,No,No,Draw,1.0,1.0,1.0,1.0,0.0,0.0,,,,,2.0,3.75,3.4,2.5,2.4,3.75,2.3,2.63,3.4,1.03,15.0,1.2,4.5,1.62,2.3,2.5,1.53,4.5,1.2,9.0,1.07,1.53,2.38,3.75,1.25,2.75,1.4,1.5,2.5,1.3,1.25,1.8,1.25,1.53,1.5,1.26,1.4,1.57
05 May 2026,05:00,England,Premier League,2025/2026,Everton,Manchester City,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/everton-manchester-city-rTwrFuZR/,No,No,Draw,3.0,3.0,0.0,1.0,3.0,2.0,,,,,6.5,4.75,1.44,6.0,2.5,1.95,5.0,2.88,1.8,1.02,17.0,1.2,4.5,1.57,2.38,2.5,1.53,4.33,1.22,8.0,1.08,1.7,2.05,4.0,1.22,3.25,1.33,5.0,1.17,2.63,1.18,1.11,1.8,1.5,1.11,1.96,1.33,1.1
05 May 2026,00:00,England,Premier League,2025/2026,Chelsea,Nottingham,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/chelsea-nottingham-n1pZG14F/,No,No,Away,1.0,3.0,0.0,2.0,1.0,1.0,,,,,1.42,4.75,7.0,1.83,2.6,6.5,1.67,2.88,6.0,1.03,15.0,1.2,4.5,1.62,2.3,2.5,1.53,4.5,1.2,9.0,1.07,1.8,1.95,4.5,1.18,3.4,1.3,1.13,6.0,1.1,1.18,2.75,1.1,1.5,1.83,1.08,1.32,2.06
04 May 2026,04:00,England,Premier League,2025/2026,Aston Villa,Tottenham,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/aston-villa-tottenham-jFEYCXop/,No,No,Away,1.0,2.0,0.0,2.0,1.0,0.0,,,,,2.25,3.6,3.0,2.88,2.3,3.4,2.5,2.6,3.0,1.04,13.0,1.22,4.33,1.67,2.2,2.75,1.44,5.0,1.17,10.0,1.06,1.57,2.25,3.75,1.25,2.75,1.4,1.67,2.1,1.36,1.29,1.62,1.3,1.57,1.4,1.3,1.41,1.46
04 May 2026,00:30,England,Premier League,2025/2026,Manchester Utd,Liverpool,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/liverpool-manchester-united-zRIM7cR1/,No,No,Home,3.0,2.0,2.0,0.0,1.0,2.0,,,,,2.35,3.75,2.8,2.88,2.4,3.2,2.5,2.75,2.88,1.02,17.0,1.17,5.0,1.53,2.5,2.3,1.62,4.0,1.25,7.0,1.1,1.44,2.63,3.5,1.29,2.63,1.44,1.73,2.0,1.4,1.25,1.57,1.36,1.53,1.4,1.36,1.4,1.45
03 May 2026,23:00,England,Premier League,2025/2026,Bournemouth,Crystal Palace,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/bournemouth-crystal-palace-buItBBGd/,No,No,Home,3.0,0.0,2.0,0.0,1.0,0.0,,,,,1.55,4.33,5.25,2.05,2.5,5.5,1.83,2.75,4.75,1.03,15.0,1.2,4.5,1.62,2.3,2.63,1.5,4.5,1.2,9.0,1.07,1.7,2.05,4.33,1.2,3.25,1.33,1.22,4.0,1.17,1.2,2.38,1.14,1.5,1.73,1.12,1.36,1.85
03 May 2026,02:30,England,Premier League,2025/2026,Arsenal,Fulham,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/arsenal-fulham-6sw2IgOM/,No,No,Home,3.0,0.0,3.0,0.0,0.0,0.0,,,,,1.45,4.5,7.0,1.95,2.38,7.0,1.8,2.63,5.5,1.05,11.0,1.29,3.75,1.88,1.98,3.2,1.36,6.0,1.13,13.0,1.04,2.0,1.75,5.5,1.14,3.75,1.25,1.14,5.5,1.1,1.18,2.63,1.08,1.53,1.8,1.08,1.39,1.91
03 May 2026,00:00,England,Premier League,2025/2026,Brentford,West Ham,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/brentford-west-ham-EmnRINZ2/,No,No,Home,3.0,0.0,1.0,0.0,2.0,0.0,,,,,1.85,3.8,3.8,2.38,2.4,4.0,2.1,2.75,3.6,1.03,15.0,1.17,5.0,1.57,2.38,2.38,1.57,4.33,1.22,8.0,1.08,1.53,2.38,3.75,1.25,2.75,1.4,1.36,3.0,1.25,1.25,1.91,1.22,1.53,1.53,1.22,1.38,1.62
03 May 2026,00:00,England,Premier League,2025/2026,Newcastle,Brighton,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/brighton-newcastle-utd-tO58V0J8/,No,No,Home,3.0,1.0,2.0,0.0,1.0,1.0,,,,,2.7,3.6,2.45,3.2,2.3,3.0,2.88,2.6,2.63,1.04,13.0,1.22,4.33,1.67,2.2,2.75,1.44,5.0,1.17,10.0,1.06,1.57,2.25,4.0,1.22,2.75,1.4,1.91,1.8,1.53,1.29,1.44,1.36,1.57,1.36,1.4,1.41,1.35
03 May 2026,00:00,England,Premier League,2025/2026,Wolves,Sunderland,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/sunderland-wolves-xjaHTvlL/,No,No,Draw,1.0,1.0,0.0,1.0,1.0,0.0,,,,,3.6,3.5,2.0,4.33,2.2,2.63,3.6,2.4,2.38,1.06,10.0,1.3,3.5,2.0,1.8,3.5,1.3,6.5,1.11,15.0,1.03,1.8,1.95,4.5,1.18,3.5,1.29,2.63,1.44,1.8,1.29,1.29,1.44,1.62,1.2,1.52,1.46,1.22
02 May 2026,05:00,England,Premier League,2025/2026,Leeds,Burnley,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/burnley-leeds-EBUD9Jdk/,No,No,Home,3.0,1.0,1.0,0.0,2.0,1.0,,,,,1.38,4.75,8.5,1.83,2.5,7.5,1.67,2.75,6.5,1.04,13.0,1.22,4.33,1.73,2.1,2.75,1.44,5.0,1.17,10.0,1.06,2.0,1.75,5.0,1.17,3.75,1.25,1.13,6.0,1.08,1.18,3.0,1.07,1.5,1.83,1.07,1.34,2.07
28 Apr 2026,05:00,England,Premier League,2025/2026,Manchester Utd,Brentford,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/brentford-manchester-united-tQzy4f9T/,No,No,Home,2.0,1.0,2.0,0.0,0.0,1.0,,,,,1.95,3.75,3.6,2.5,2.4,3.75,2.25,2.75,3.4,1.03,15.0,1.17,5.0,1.57,2.38,2.38,1.57,4.33,1.22,8.0,1.08,1.5,2.5,3.75,1.25,2.63,1.44,1.44,2.63,1.29,1.25,1.8,1.25,1.53,1.5,1.26,1.4,1.58
26 Apr 2026,02:30,England,Premier League,2025/2026,Arsenal,Newcastle,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/arsenal-newcastle-utd-OQsq6PYa/,No,No,Home,1.0,0.0,1.0,0.0,0.0,0.0,,,,,1.38,5.0,7.5,1.83,2.5,7.5,1.67,2.88,6.0,1.04,13.0,1.22,4.33,1.67,2.2,2.75,1.44,5.0,1.17,10.0,1.06,1.95,1.8,5.0,1.17,3.5,1.29,1.13,6.0,1.1,1.17,3.0,1.07,1.5,1.83,1.08,1.35,2.07
26 Apr 2026,00:00,England,Premier League,2025/2026,Liverpool,Crystal Palace,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/crystal-palace-liverpool-YaXS5GvH/,No,No,Home,3.0,1.0,2.0,0.0,1.0,1.0,,,,,1.6,4.5,5.0,2.05,2.6,5.0,1.83,2.88,4.33,1.02,17.0,1.14,5.5,1.5,2.63,2.2,1.67,4.0,1.25,7.0,1.1,1.57,2.25,3.75,1.25,2.75,1.4,1.25,3.75,1.17,1.18,2.3,1.14,1.5,1.73,1.15,1.33,1.83
26 Apr 2026,00:00,England,Premier League,2025/2026,West Ham,Everton,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/everton-west-ham-h44gMyPc/,No,No,Home,2.0,1.0,0.0,0.0,2.0,1.0,,,,,2.4,3.4,2.8,3.0,2.25,3.4,2.75,2.5,2.88,1.04,12.0,1.25,4.0,1.83,2.03,3.0,1.4,5.5,1.14,11.0,1.05,1.62,2.2,4.0,1.22,3.0,1.36,1.73,2.0,1.4,1.3,1.53,1.3,1.57,1.36,1.32,1.44,1.4
26 Apr 2026,00:00,England,Premier League,2025/2026,Wolves,Tottenham,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/tottenham-wolves-bHZgKFgA/,No,No,Away,0.0,1.0,0.0,0.0,0.0,1.0,,,,,4.5,4.33,1.67,5.0,2.4,2.1,4.5,2.75,1.95,1.03,15.0,1.22,4.33,1.67,2.2,2.63,1.5,5.0,1.17,10.0,1.06,1.7,2.05,4.0,1.22,3.25,1.33,3.75,1.25,2.15,1.2,1.18,1.67,1.53,1.14,1.75,1.38,1.15
25 Apr 2026,21:30,England,Premier League,2025/2026,Fulham,Aston Villa,Finished,https://www.oddsportal.com/football/england/premier-league-2025-2026/aston-villa-fulham-CpqK7xA4/,No,No,Home,1.0,0.0,1.0,0.0,0.0,0.0,,,,,2.45,3.6,2.75,3.0,2.3,3.25,2.63,2.5,2.88,1.04,13.0,1.22,4.33,1.73,2.1,2.75,1.44,5.0,1.17,10.0,1.06,1.62,2.2,4.0,1.22,3.0,1.36,1.73,2.0,1.4,1.29,1.53,1.33,1.57,1.36,1.34,1.43,1.39
